ID,ADDR,CONTENT,TIME,SCORE
RES_1_P80,59.29.81.51,"b'<?xml version=""1.0"" encoding=""UTF-8""?>\n<SOAP-ENV:Envelope xmlns:SOAP-ENV=""http://www.w3.org/2003/05/soap-envelope"" xmlns:SOAP-ENC=""http://www.w3.org/2003/05/soap-encoding"" xmlns:xsi=""http://www.w3.org/2001/XMLSchema-instance"" xmlns:xsd=""http://www.w3.org/2001/XMLSchema"" xmlns:wsa5=""http://www.w3.org/2005/08/addressing"" xmlns:c14n=""http://www.w3.org/2001/10/xml-exc-c14n#"" xmlns:wsu=""http://docs.oasis-open.org/wss/2004/01/oasis-200401-wss-wssecurity-utility-1.0.xsd"" xmlns:xenc=""http://www.w3.org/2001/04/xmlenc#"" xmlns:ds=""http://www.w3.org/2000/09/xmldsig#"" xmlns:wsse=""http://docs.oasis-open.org/wss/2004/01/oasis-200401-wss-wssecurity-secext-1.0.xsd"" xmlns:xmime=""http://tempuri.org/xmime.xsd"" xmlns:xop=""http://www.w3.org/2004/08/xop/include"" xmlns:wsa=""http://schemas.xmlsoap.org/ws/2004/08/addressing"" xmlns:tt=""http://www.onvif.org/ver10/schema"" xmlns:wsbf2=""http://docs.oasis-open.org/wsrf/bf-2"" xmlns:wstop=""http://docs.oasis-open.org/wsn/t-1"" xmlns:wsr2=""http://docs.oasis-open.org/wsrf/r-2"" xmlns:daae=""http://www.onvif.org/ver20/analytics/wsdl/AnalyticsEngineBinding"" xmlns:dare=""http://www.onvif.org/ver20/analytics/wsdl/RuleEngineBinding"" xmlns:tan=""http://www.onvif.org/ver20/analytics/wsdl"" xmlns:decpp=""http://www.onvif.org/ver10/events/wsdl/CreatePullPointBinding"" xmlns:dee=""http://www.onvif.org/ver10/events/wsdl/EventBinding"" xmlns:denc=""http://www.onvif.org/ver10/events/wsdl/NotificationConsumerBinding"" xmlns:denf=""http://www.onvif.org/ver10/events/wsdl/NotificationProducerBinding"" xmlns:depp=""http://www.onvif.org/ver10/events/wsdl/PullPointBinding"" xmlns:depps=""http://www.onvif.org/ver10/events/wsdl/PullPointSubscriptionBinding"" xmlns:tev=""http://www.onvif.org/ver10/events/wsdl"" xmlns:depsm=""http://www.onvif.org/ver10/events/wsdl/PausableSubscriptionManagerBinding"" xmlns:wsnt=""http://docs.oasis-open.org/wsn/b-2"" xmlns:desm=""http://www.onvif.org/ver10/events/wsdl/SubscriptionManagerBinding"" xmlns:dndl=""http://www.onvif.org/ver10/network/wsdl/DiscoveryLookupBinding"" xmlns:dnrd=""http://www.onvif.org/ver10/network/wsdl/RemoteDiscoveryBinding"" xmlns:d=""http://schemas.xmlsoap.org/ws/2005/04/discovery"" xmlns:dn=""http://www.onvif.org/ver10/network/wsdl"" xmlns:tad=""http://www.onvif.org/ver10/analyticsdevice/wsdl"" xmlns:tds=""http://www.onvif.org/ver10/device/wsdl"" xmlns:timg=""http://www.onvif.org/ver20/imaging/wsdl"" xmlns:tls=""http://www.onvif.org/ver10/display/wsdl"" xmlns:tmd=""http://www.onvif.org/ver10/deviceIO/wsdl"" xmlns:tptz=""http://www.onvif.org/ver20/ptz/wsdl"" xmlns:trc=""http://www.onvif.org/ver10/recording/wsdl"" xmlns:trp=""http://www.onvif.org/ver10/replay/wsdl"" xmlns:trt=""http://www.onvif.org/ver10/media/wsdl"" xmlns:trv=""http://www.onvif.org/ver10/receiver/wsdl"" xmlns:tse=""http://www.onvif.org/ver10/search/wsdl"" xmlns:ter=""http://www.onvif.org/ver10/error"" xmlns:tns1=""http://www.onvif.org/ver10/topics""><SOAP-ENV:Body><SOAP-ENV:Fault><faultcode>SOAP-ENV:Client</faultcode><faultstring>HTTP GET method not implemented</faultstring></SOAP-ENV:Fault></SOAP-ENV:Body></SOAP-ENV:Envelope>\r\n'",2022-05-02 21:28:28.755032,0.5
RES_2_P80,94.180.151.160,"b'<SOAP-ENV:Envelope xmlns:SOAP-ENV=""http://schemas.xmlsoap.org/soap/envelope/"" xmlns:SOAP-ENC=""http://schemas.xmlsoap.org/soap/encoding/"" xmlns:xsi=""http://www.w3.org/2001/XMLSchema-instance"" xmlns:xsd=""http://www.w3.org/2001/XMLSchema"" xmlns:cwmp=""urn:dslforum-org:cwmp-1-0""><SOAP-ENV:Body><SOAP-ENV:Fault><faultcode>SOAP-ENV:Client</faultcode>\r\n<faultstring>HTTP Error: 404 Not Found</faultstring>\r\n</SOAP-ENV:Fault>\r\n</SOAP-ENV:Body>\r\n</SOAP-ENV:Envelope>\r\n\n'",2022-05-02 22:40:02.724565,0.5
RES_3_P80,58.162.228.234:80,"b'\xef\xbb\xbf<!doctype html>\r\n<head>\r\n<meta http-equiv=""Content-Type"" content=""text/html; charset=utf-8"" />\r\n<title>index</title>\r\n<script type=""text/javascript"" src=""doc/script/jquery-1.7.1.min.js""></script>\r\n<script type=""text/javascript"" src=""doc/script/jquery.cookie.js""></script>\r\n<script>\r\nfunction initIndex() {\r\n\tif (navigator.appName == \'Netscape\' || navigator.appName == ""Opera"") {\r\n\t\tvar sysLanguage= navigator.language.toLowerCase();\r\n\t} else {\r\n\t\tvar sysLanguage= navigator.browserLanguage.toLowerCase();\r\n\t}\r\n\tvar szLanguage = sysLanguage.substring(0,2);\r\n\t$.cookie(\'language\', szLanguage);\r\n\tself.moveTo(0,0);   //\xe4\xbd\xbf\xe5\x85\xb6IE\xe7\xaa\x97\xe5\x8f\xa3\xe6\x9c\x80\xe5\xa4\xa7\xe5\x8c\x96\r\n\tself.resizeTo(screen.availWidth,screen.availHeight); \r\n\t$.cookie(\'updateTips\', \'true\');\r\n\twindow.location.href = ""doc/page/login.asp"";\r\n}\r\n</script> \r\n</head>\r\n<body onLoad=""initIndex()""></body>\r\n</html>'",2022-05-03 19:45:03.555342,0.5
RES_4_P80,58.162.228.234:80,b'<html><head><title>Document Error: Site or Page Not Found</title></head>\r\n\t\t<body><h2>Access Error: Site or Page Not Found</h2>\r\n\t\t<p>Cannot open URL</p></body></html>\r\n\r\n',2022-05-03 19:45:04.300946,0.5
RES_5_P80,58.162.228.234:80,b'<html><head><title>Document Error: Page not found</title></head>\r\n\t\t<body><h2>Access Error: Page not found</h2>\r\n\t\t<p>Bad request</p></body></html>\r\n\r\n',2022-05-03 19:45:05.024200,0.3
RES_6_P80,58.162.228.234:80,b'<html><head><title>Document Error: Site or Page Not Found</title></head>\r\n\t\t<body><h2>Access Error: Site or Page Not Found</h2>\r\n\t\t<p>Cannot open URL</p></body></html>\r\n\r\n',2022-05-03 19:45:05.743322,0.5
RES_7_P80,58.162.228.234:80,b'<html><head><title>Document Error: Page not found</title></head>\r\n\t\t<body><h2>Access Error: Page not found</h2>\r\n\t\t<p>Bad request</p></body></html>\r\n\r\n',2022-05-03 19:45:06.464338,0.5
RES_8_P80,58.162.228.234:80,b'<html><head><title>Document Error: Site or Page Not Found</title></head>\r\n\t\t<body><h2>Access Error: Site or Page Not Found</h2>\r\n\t\t<p>Cannot open URL</p></body></html>\r\n\r\n',2022-05-03 19:45:07.188206,0.3
RES_15_P80,58.162.228.234:80,b'<html><head><title>Document Error: Page not found</title></head>\r\n\t\t<body><h2>Access Error: Page not found</h2>\r\n\t\t<p>Bad request</p></body></html>\r\n\r\n',2022-05-03 19:45:12.309379,0.5
RES_16_P80,58.162.228.234:80,b'<html><head><title>Document Error: Site or Page Not Found</title></head>\r\n\t\t<body><h2>Access Error: Site or Page Not Found</h2>\r\n\t\t<p>Cannot open URL</p></body></html>\r\n\r\n',2022-05-03 19:45:13.039806,0.5
